time,TC,TT,TF,Power,TM,Status
22-07-13 23:36:35.00,40.416,40.544,40.820,1.592,NA,Ramp
22-07-13 23:36:36.00,40.404,40.544,40.820,1.769,NA,Ramp
22-07-13 23:36:37.00,40.400,40.545,40.820,1.886,NA,Ramp
22-07-13 23:36:38.00,40.399,40.546,40.820,2.072,NA,Ramp
22-07-13 23:36:39.00,40.402,40.547,40.820,2.049,NA,Ramp
22-07-13 23:36:40.00,40.409,40.548,40.820,1.866,NA,Ramp
22-07-13 23:36:41.00,40.418,40.549,40.820,1.822,NA,Ramp
22-07-13 23:36:42.00,40.423,40.549,40.820,1.948,NA,Ramp
22-07-13 23:36:43.00,40.434,40.550,40.820,1.723,NA,Ramp
22-07-13 23:36:44.00,40.440,40.551,40.820,1.829,NA,Ramp
22-07-13 23:36:45.00,40.447,40.552,40.820,1.823,NA,Ramp
22-07-13 23:36:46.00,40.451,40.553,40.820,1.731,NA,Ramp
22-07-13 23:36:47.00,40.455,40.554,40.820,1.900,NA,Ramp
22-07-13 23:36:48.00,40.463,40.554,40.820,1.682,NA,Ramp
22-07-13 23:36:49.00,40.466,40.555,40.820,1.913,NA,Ramp
22-07-13 23:36:50.00,40.471,40.556,40.820,1.752,NA,Ramp
22-07-13 23:36:51.00,40.475,40.557,40.820,1.827,NA,Ramp
22-07-13 23:36:52.00,40.479,40.558,40.820,1.855,NA,Ramp
22-07-13 23:36:53.00,40.482,40.559,40.820,1.786,NA,Ramp
22-07-13 23:36:54.00,40.485,40.559,40.820,1.882,NA,Ramp
22-07-13 23:36:55.00,40.491,40.560,40.820,1.727,NA,Ramp
22-07-13 23:36:56.00,40.493,40.561,40.820,1.826,NA,Ramp
22-07-13 23:36:57.00,40.497,40.562,40.820,1.782,NA,Ramp
22-07-13 23:36:58.00,40.499,40.563,40.820,1.742,NA,Ramp
22-07-13 23:36:59.00,40.502,40.564,40.820,1.793,NA,Ramp
22-07-13 23:37:00.00,40.507,40.564,40.820,1.720,NA,Ramp
22-07-13 23:37:01.00,40.508,40.565,40.820,1.858,NA,Ramp
22-07-13 23:37:02.00,40.512,40.566,40.820,1.895,NA,Ramp
22-07-13 23:37:03.00,40.516,40.567,40.820,1.638,NA,Ramp
22-07-13 23:37:04.00,40.519,40.568,40.820,1.662,NA,Ramp
22-07-13 23:37:05.00,40.523,40.569,40.820,1.620,NA,Ramp
22-07-13 23:37:06.00,40.523,40.569,40.820,1.784,NA,Ramp
22-07-13 23:37:07.00,40.527,40.570,40.820,1.772,NA,Ramp
22-07-13 23:37:08.00,40.529,40.571,40.820,1.799,NA,Ramp
22-07-13 23:37:09.00,40.534,40.572,40.820,1.649,NA,Ramp
22-07-13 23:37:10.00,40.535,40.573,40.820,1.644,NA,Ramp
22-07-13 23:37:11.00,40.538,40.574,40.820,1.658,NA,Ramp
22-07-13 23:37:12.00,40.541,40.574,40.820,1.759,NA,Ramp
22-07-13 23:37:13.00,40.544,40.575,40.820,1.643,NA,Ramp
22-07-13 23:37:14.00,40.543,40.576,40.820,1.765,NA,Ramp
22-07-13 23:37:15.00,40.548,40.577,40.820,1.703,NA,Ramp
22-07-13 23:37:16.00,40.549,40.578,40.820,1.733,NA,Ramp
22-07-13 23:37:17.00,40.550,40.579,40.820,1.613,NA,Ramp
22-07-13 23:37:18.00,40.552,40.579,40.820,1.732,NA,Ramp
22-07-13 23:37:19.00,40.555,40.580,40.820,1.674,NA,Ramp
22-07-13 23:37:20.00,40.557,40.581,40.820,1.612,NA,Ramp
22-07-13 23:37:21.00,40.560,40.582,40.820,1.580,NA,Ramp
22-07-13 23:37:22.00,40.560,40.583,40.820,1.789,NA,Ramp
22-07-13 23:37:23.00,40.561,40.584,40.820,1.752,NA,Ramp
22-07-13 23:37:24.00,40.563,40.584,40.820,1.697,NA,Ramp
22-07-13 23:37:25.00,40.565,40.585,40.820,1.714,NA,Ramp
22-07-13 23:37:26.00,40.566,40.586,40.820,1.644,NA,Ramp
22-07-13 23:37:27.00,40.569,40.587,40.820,1.606,NA,Ramp
22-07-13 23:37:28.00,40.569,40.588,40.820,1.717,NA,Ramp
22-07-13 23:37:29.00,40.572,40.589,40.820,1.657,NA,Ramp
22-07-13 23:37:30.00,40.574,40.589,40.820,1.674,NA,Ramp
22-07-13 23:37:31.00,40.575,40.590,40.820,1.682,NA,Ramp
22-07-13 23:37:32.00,40.578,40.591,40.820,1.663,NA,Ramp
22-07-13 23:37:33.00,40.577,40.592,40.820,1.655,NA,Ramp
22-07-13 23:37:34.00,40.580,40.593,40.820,1.644,NA,Ramp
22-07-13 23:37:35.00,40.581,40.594,40.820,1.610,NA,Ramp
22-07-13 23:37:36.00,40.581,40.594,40.820,1.707,NA,Ramp
22-07-13 23:37:37.00,40.583,40.595,40.820,1.527,NA,Ramp
22-07-13 23:37:38.00,40.584,40.596,40.820,1.650,NA,Ramp
22-07-13 23:37:39.00,40.584,40.597,40.820,1.751,NA,Ramp
22-07-13 23:37:40.00,40.586,40.598,40.820,1.622,NA,Ramp
22-07-13 23:37:41.00,40.587,40.599,40.820,1.606,NA,Ramp
22-07-13 23:37:42.00,40.589,40.599,40.820,1.592,NA,Ramp
22-07-13 23:37:43.00,40.589,40.600,40.820,1.677,NA,Ramp
22-07-13 23:37:44.00,40.589,40.601,40.820,1.637,NA,Ramp
22-07-13 23:37:45.00,40.592,40.602,40.820,1.587,NA,Ramp
22-07-13 23:37:46.00,40.594,40.603,40.820,1.615,NA,Ramp
22-07-13 23:37:47.00,40.595,40.604,40.820,1.600,NA,Ramp
22-07-13 23:37:48.00,40.597,40.604,40.820,1.539,NA,Ramp
22-07-13 23:37:49.00,40.597,40.605,40.820,1.675,NA,Ramp
22-07-13 23:37:50.00,40.598,40.606,40.820,1.728,NA,Ramp
22-07-13 23:37:51.00,40.601,40.607,40.820,1.694,NA,Ramp
22-07-13 23:37:52.00,40.602,40.608,40.820,1.584,NA,Ramp
22-07-13 23:37:53.00,40.601,40.609,40.820,1.675,NA,Ramp
22-07-13 23:37:54.00,40.604,40.609,40.820,1.574,NA,Ramp
22-07-13 23:37:55.00,40.604,40.610,40.820,1.693,NA,Ramp
22-07-13 23:37:56.00,40.605,40.611,40.820,1.693,NA,Ramp
22-07-13 23:37:57.00,40.606,40.612,40.820,1.695,NA,Ramp
22-07-13 23:37:58.00,40.607,40.613,40.820,1.683,NA,Ramp
22-07-13 23:37:59.00,40.607,40.614,40.820,1.749,NA,Ramp
22-07-13 23:38:00.00,40.610,40.614,40.820,1.711,NA,Ramp
22-07-13 23:38:01.00,40.612,40.615,40.820,1.696,NA,Ramp
22-07-13 23:38:02.00,40.611,40.616,40.820,1.738,NA,Ramp
22-07-13 23:38:03.00,40.612,40.617,40.820,1.752,NA,Ramp
22-07-13 23:38:04.00,40.614,40.618,40.820,1.780,NA,Ramp
22-07-13 23:38:05.00,40.615,40.618,40.820,1.632,NA,Ramp
22-07-13 23:38:06.00,40.616,40.618,40.820,1.597,NA,Ramp
22-07-13 23:38:07.00,40.616,40.619,40.820,1.708,NA,Ramp
22-07-13 23:38:08.00,40.617,40.620,40.820,1.685,NA,Ramp
22-07-13 23:38:09.00,40.619,40.621,40.820,1.598,NA,Ramp
22-07-13 23:38:10.00,40.620,40.622,40.820,1.523,NA,Ramp
22-07-13 23:38:11.00,40.619,40.623,40.820,1.645,NA,Ramp
22-07-13 23:38:12.00,40.620,40.623,40.820,1.714,NA,Ramp
22-07-13 23:38:13.00,40.621,40.624,40.820,1.727,NA,Ramp
22-07-13 23:38:14.00,40.622,40.625,40.820,1.735,NA,Ramp
22-07-13 23:38:15.00,40.623,40.626,40.820,1.639,NA,Ramp
22-07-13 23:38:16.00,40.623,40.627,40.820,1.693,NA,Ramp
22-07-13 23:38:17.00,40.624,40.628,40.820,1.618,NA,Ramp
22-07-13 23:38:18.00,40.627,40.628,40.820,1.629,NA,Ramp
22-07-13 23:38:19.00,40.627,40.629,40.820,1.562,NA,Ramp
22-07-13 23:38:20.00,40.628,40.630,40.820,1.684,NA,Ramp
22-07-13 23:38:21.00,40.628,40.631,40.820,1.689,NA,Ramp
22-07-13 23:38:22.00,40.629,40.632,40.820,1.670,NA,Ramp
22-07-13 23:38:23.00,40.631,40.633,40.820,1.734,NA,Ramp
22-07-13 23:38:24.00,40.632,40.633,40.820,1.703,NA,Ramp
22-07-13 23:38:25.00,40.632,40.634,40.820,1.668,NA,Ramp
22-07-13 23:38:26.00,40.635,40.635,40.820,1.670,NA,Ramp
22-07-13 23:38:27.00,40.633,40.636,40.820,1.778,NA,Ramp
22-07-13 23:38:28.00,40.637,40.637,40.820,1.591,NA,Ramp
22-07-13 23:38:29.00,40.634,40.638,40.820,1.677,NA,Ramp
22-07-13 23:38:30.00,40.638,40.638,40.820,1.601,NA,Ramp
22-07-13 23:38:31.00,40.638,40.639,40.820,1.682,NA,Ramp
22-07-13 23:38:32.00,40.641,40.640,40.820,1.592,NA,Ramp
22-07-13 23:38:33.00,40.639,40.641,40.820,1.737,NA,Ramp
22-07-13 23:38:34.00,40.641,40.642,40.820,1.674,NA,Ramp
22-07-13 23:38:35.00,40.642,40.643,40.820,1.654,NA,Ramp
22-07-13 23:38:36.00,40.643,40.643,40.820,1.606,NA,Ramp
22-07-13 23:38:37.00,40.644,40.644,40.820,1.625,NA,Ramp
22-07-13 23:38:38.00,40.644,40.645,40.820,1.605,NA,Ramp
22-07-13 23:38:39.00,40.645,40.646,40.820,1.706,NA,Ramp
22-07-13 23:38:40.00,40.645,40.647,40.820,1.546,NA,Ramp
22-07-13 23:38:41.00,40.647,40.648,40.820,1.631,NA,Ramp
22-07-13 23:38:42.00,40.648,40.648,40.820,1.613,NA,Ramp
22-07-13 23:38:43.00,40.649,40.649,40.820,1.601,NA,Ramp
22-07-13 23:38:44.00,40.649,40.650,40.820,1.654,NA,Ramp
22-07-13 23:38:45.00,40.650,40.651,40.820,1.607,NA,Ramp
22-07-13 23:38:46.00,40.652,40.652,40.820,1.738,NA,Ramp
22-07-13 23:38:47.00,40.651,40.653,40.820,1.696,NA,Ramp
